station_id,indexes,nearest_forecast_long,nearest_forecast_lat,long,forecast,lat,year,month,day,hour
SN18700,[319 314],10.738134799330613,59.946385818356994,10.72,267.547,59.9423,2019.0,01,31,18
SN80740,[626 385],13.627743905243218,66.90916555319717,13.646,268.5382,66.9035,2019.0,01,31,18
SN61630,[426 268],8.178908569468497,62.25319679921178,8.2,264.51477,62.2583,2019.0,01,31,18
SN78910,[528 358],12.318574946980938,64.69057458500197,12.3295,262.82434,64.6933,2019.0,01,31,18
SN8140,[384 326],11.098429605517202,61.420746237968714,11.0803,261.48254,61.4255,2019.0,01,31,18
SN23500,[374 282],9.082836293474902,61.121216343373234,9.063,263.04993,61.122,2019.0,01,31,18
SN50810,[355 198],5.348492483254349,60.469302479862975,5.3418,273.39758,60.4742,2019.0,01,31,18
SN50245,[349 205],5.703557920526581,60.359077588552864,5.6942,273.48254,60.3643,2019.0,01,31,18
SN52452,[358 197],5.282859782522676,60.532556375330316,5.267,274.70032,60.5225,2019.0,01,31,18
SN51010,[356 206],5.702695611561692,60.51790158536841,5.7243,273.3839,60.5205,2019.0,01,31,18
SN51800,[360 234],6.947927233023056,60.69154248683782,6.9373,264.40833,60.7022,2019.0,01,31,18
SN57380,[397 232],6.636692282300175,61.510479311461495,6.657,265.2345,61.5158,2019.0,01,31,18
SN44640,[287 197],5.747727889508041,58.95608897744611,5.7278,273.61438,58.9563,2019.0,01,31,18
SN53280,[367 238],7.090699718745746,60.85872287134096,7.1048,266.4181,60.861,2019.0,01,31,18
SN65060,[465 280],8.567396983051058,63.1531207605444,8.5602,271.30188,63.1442,2019.0,01,31,18
SN54330,[375 255],7.829119149865686,61.08193260800106,7.8478,264.59485,61.0795,2019.0,01,31,18
SN99880,[948 421],15.962310870177236,74.0771097850364,16.3603,274.65344,78.6557,2019.0,01,31,18
SN26840,[312 297],10.002644610650407,59.76218442144543,10.0123,267.67493,59.7658,2019.0,01,31,18
SN12180,[356 327],11.22256058523666,60.7940222282842,11.2028,264.77844,60.8028,2019.0,01,31,18
SN90495,[752 471],18.98929456942154,69.69138856835833,18.982,264.03723,69.6942,2019.0,01,31,18
SN99754,[948 415],15.481416358986856,74.07859079631858,15.5353,274.79407,77.0002,2019.0,01,31,18
SN66630,[450 304],9.818528657077964,62.86589793002209,9.8413,267.04797,62.8763,2019.0,01,31,18
SN76957,[375 160],3.4818378500727722,60.7726652017557,3.501,276.79114,60.7735,2019.0,01,31,18
SN50526,[351 194],5.196005086623381,60.3669456875749,5.1738,274.98157,60.3725,2019.0,01,31,18
SN29400,[336 243],7.486557393042281,60.180821894407636,7.4805,260.67786,60.1833,2019.0,01,31,18
SN80880,[634 395],14.19384006991621,67.09234346725181,14.1663,269.15637,67.093,2019.0,01,31,18
SN19710,[315 307],10.437813502191068,59.84601790872026,10.4358,267.40637,59.8558,2019.0,01,31,18
SN69190,[469 331],11.09025021734952,63.33490507496889,11.0887,266.18762,63.338,2019.0,01,31,18
SN26780,[312 298],10.04708912296178,59.7639194831232,10.0582,267.88684,59.7655,2019.0,01,31,18
SN45675,[294 208],6.18003863961877,59.14612465904347,6.1737,272.72473,59.1497,2019.0,01,31,18
SN23550,[380 279],8.91750835839629,61.249180867838334,8.9228,262.27063,61.2508,2019.0,01,31,18
SN99990,[0 0],0.23800048253992387,51.8489999182657,2.5408,273.41907,-72.012,2019.0,01,31,18
SN32220,[302 273],8.979123855767007,59.492450038356864,8.9837,262.8966,59.5022,2019.0,01,31,18
SN79600,[602 397],14.328299407672521,66.37505336692372,14.3015,261.77258,66.3643,2019.0,01,31,18
SN68125,[474 317],10.372670723720834,63.4261934742532,10.3498,269.06653,63.4223,2019.0,01,31,18
SN28380,[307 288],9.621475431609726,59.634032799908,9.6377,266.08606,59.6247,2019.0,01,31,18
SN64330,[465 265],7.825259810958896,63.11750491036082,7.8158,273.43567,63.1093,2019.0,01,31,18
SN76965,[371 144],2.793586132981838,60.618394895021886,2.7757,277.0636,60.6083,2019.0,01,31,18
SN57030,[395 200],5.160740687301013,61.36451857237802,5.1728,271.6427,61.3592,2019.0,01,31,18
SN45770,[298 208],6.156049468077076,59.23502088947118,6.1498,274.06555,59.23,2019.0,01,31,18
SN17150,[293 314],10.81395992011134,59.36404827035595,10.798,269.95715,59.3742,2019.0,01,31,18
SN27315,[295 301],10.236546869880188,59.38853619788356,10.2397,269.01575,59.3808,2019.0,01,31,18
SN33990,[322 232],7.071319419392021,59.839151528590676,7.0873,261.44055,59.8498,2019.0,01,31,18
SN1135,[275 330],11.559914516739774,58.98219659424507,11.5408,271.31458,58.99,2019.0,01,31,18
SN90100,[739 467],18.68466280876727,69.40702956500375,18.6773,264.4933,69.414,2019.0,01,31,18
SN90450,[750 470],18.917288966978,69.64821036476363,18.9368,264.6847,69.6537,2019.0,01,31,18
SN55705,[382 242],7.190045651257395,61.204217136593954,7.2098,269.6798,61.2017,2019.0,01,31,18
SN61070,[441 244],6.938451373074946,62.525881548810844,6.949,270.2931,62.5325,2019.0,01,31,18
SN8800,[404 323],10.897871738325053,61.86521838547945,10.9097,261.70422,61.8645,2019.0,01,31,18
