2022-02-24 16:16:17,915 | root | INFO | Starting 2.5km grid
2022-02-24 16:16:49,208 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/31/meps_subset_2_5km_20190131T12Z.nc
2022-02-24 16:17:00,584 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/31/meps_subset_2_5km_20190131T06Z.nc
2022-02-24 16:17:11,323 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/31/meps_subset_2_5km_20190131T00Z.nc
2022-02-24 16:17:17,381 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/30/meps_subset_2_5km_20190130T18Z.nc
2022-02-24 16:17:19,679 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/30/meps_subset_2_5km_20190130T12Z.nc
2022-02-24 16:17:22,145 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/30/meps_subset_2_5km_20190130T06Z.nc
2022-02-24 16:17:24,798 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/30/meps_subset_2_5km_20190130T00Z.nc
2022-02-24 16:17:32,037 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/29/meps_subset_2_5km_20190129T18Z.nc
2022-02-24 16:17:40,081 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/29/meps_subset_2_5km_20190129T12Z.nc
2022-02-24 16:17:51,654 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/29/meps_subset_2_5km_20190129T06Z.nc
2022-02-24 16:18:02,713 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/29/meps_subset_2_5km_20190129T00Z.nc
2022-02-24 16:18:10,191 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/28/meps_subset_2_5km_20190128T18Z.nc
2022-02-24 16:18:20,656 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/28/meps_subset_2_5km_20190128T12Z.nc
2022-02-24 16:18:26,605 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/28/meps_subset_2_5km_20190128T06Z.nc
2022-02-24 16:18:33,254 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/28/meps_subset_2_5km_20190128T00Z.nc
2022-02-24 16:18:44,496 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/27/meps_subset_2_5km_20190127T18Z.nc
2022-02-24 16:18:52,584 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/27/meps_subset_2_5km_20190127T12Z.nc
2022-02-24 16:18:57,617 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/27/meps_subset_2_5km_20190127T06Z.nc
2022-02-24 16:19:08,220 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/27/meps_subset_2_5km_20190127T00Z.nc
2022-02-24 16:19:14,935 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/26/meps_subset_2_5km_20190126T18Z.nc
2022-02-24 16:19:19,721 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/26/meps_subset_2_5km_20190126T12Z.nc
2022-02-24 16:19:26,680 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/26/meps_subset_2_5km_20190126T06Z.nc
2022-02-24 16:19:33,866 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/26/meps_subset_2_5km_20190126T00Z.nc
2022-02-24 16:19:45,627 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/25/meps_subset_2_5km_20190125T18Z.nc
2022-02-24 16:19:57,023 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/25/meps_subset_2_5km_20190125T12Z.nc
2022-02-24 16:20:08,165 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/25/meps_subset_2_5km_20190125T06Z.nc
2022-02-24 16:20:14,243 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/25/meps_subset_2_5km_20190125T00Z.nc
2022-02-24 16:20:22,924 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/24/meps_subset_2_5km_20190124T18Z.nc
2022-02-24 16:20:31,846 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/24/meps_subset_2_5km_20190124T12Z.nc
2022-02-24 16:20:40,714 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/24/meps_subset_2_5km_20190124T06Z.nc
2022-02-24 16:20:50,678 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/24/meps_subset_2_5km_20190124T00Z.nc
2022-02-24 16:21:00,713 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/23/meps_subset_2_5km_20190123T18Z.nc
2022-02-24 16:21:11,258 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/23/meps_subset_2_5km_20190123T12Z.nc
2022-02-24 16:21:15,793 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/23/meps_subset_2_5km_20190123T06Z.nc
2022-02-24 16:21:20,386 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/23/meps_subset_2_5km_20190123T00Z.nc
2022-02-24 16:21:24,507 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/22/meps_subset_2_5km_20190122T18Z.nc
2022-02-24 16:21:29,282 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/22/meps_subset_2_5km_20190122T12Z.nc
2022-02-24 16:21:37,254 | root | ERROR | Error on https://thredds.met.no/thredds/dodsC/meps25epsarchive/2019/01/22/meps_subset_2_5km_20190122T06Z.nc
