station_id,lat,long
SN18700,59.9423,10.72
SN80740,66.9035,13.646
SN61630,62.2583,8.2
SN78910,64.6933,12.3295
SN8140,61.4255,11.0803
SN23500,61.122,9.063
SN50810,60.4742,5.3418
SN50245,60.3643,5.6942
SN52452,60.5225,5.267
SN51010,60.5205,5.7243
SN51800,60.7022,6.9373
SN57380,61.5158,6.657
SN44640,58.9563,5.7278
SN53280,60.861,7.1048
SN65060,63.1442,8.5602
SN54330,61.0795,7.8478
SN99880,78.6557,16.3603
SN26840,59.7658,10.0123
SN12180,60.8028,11.2028
SN90495,69.6942,18.982
SN99754,77.0002,15.5353
SN66630,62.8763,9.8413
SN76957,60.7735,3.501
SN50526,60.3725,5.1738
SN29400,60.1833,7.4805
SN80880,67.093,14.1663
SN19710,59.8558,10.4358
SN69190,63.338,11.0887
SN26780,59.7655,10.0582
SN45675,59.1497,6.1737
SN23550,61.2508,8.9228
SN99990,-72.012,2.5408
SN32220,59.5022,8.9837
SN79600,66.3643,14.3015
SN68125,63.4223,10.3498
SN28380,59.6247,9.6377
SN64330,63.1093,7.8158
SN76965,60.6083,2.7757
SN57030,61.3592,5.1728
SN45770,59.23,6.1498
SN17150,59.3742,10.798
SN27315,59.3808,10.2397
SN33990,59.8498,7.0873
SN1135,58.99,11.5408
SN90100,69.414,18.6773
SN90450,69.6537,18.9368
SN55705,61.2017,7.2098
SN61070,62.5325,6.949
SN8800,61.8645,10.9097
SN18265,59.962,10.975
SN37070,58.9032,8.562
SN76968,61.3648,2.4327
SN67153,63.3237,10.2438
SN80700,66.8102,13.9793
SN84630,68.421,17.4802
SN17090,59.3503,10.897
SN76995,60.7827,2.8978
SN12290,60.8002,11.095
SN51470,60.6455,6.222
SN17000,59.1513,10.8288
SN17380,59.398,10.7543
SN46610,59.6479,6.3499
SN99840,78.2453,15.5015
SN80102,66.3705,12.611
SN57789,61.6673,5.1948
SN69150,63.4882,10.8795
SN51440,60.647,6.1105
SN94280,70.6807,23.6772
SN60890,62.4654,6.4013
SN41825,58.134,7.0452
SN62200,62.8275,7.6048
SN725,62.0818,12.132
SN30305,59.2485,9.6637
SN99720,76.5097,25.0133
SN17870,59.6703,10.8107
SN77425,65.1662,13.3667
SN51990,60.8655,6.4733
SN56960,61.4202,6.3758
SN15262,61.674,8.3685
SN76450,65.7017,11.8562
SN76961,58.4178,1.7178
SN77350,65.3125,13.1427
SN69661,62.0385,6.4187
SN32060,59.3822,9.2128
SN62295,62.756,7.2088
SN64242,63.0857,7.7978
SN82410,67.4048,13.8958
SN76928,65.32285,7.3156
SN6840,61.1215,11.3633
SN69625,63.622,11.0718
SN93140,69.9775,23.3582
SN20280,60.1403,10.2662
SN71850,64.1727,9.4052
SN72200,64.3398,11.2813
SN17050,59.3188,10.8145
SN81650,66.9368,15.3155
SN85840,67.6527,12.7228
SN26500,59.9202,9.9728
SN20301,60.1665,10.2478
SN53990,60.7418,7.5748
SN51460,60.6377,6.2048
SN76240,65.22,11.9927
SN19825,59.5513,10.5813
SN69655,63.5652,10.6932
SN50850,60.357,5.4515
SN69520,63.3407,12.0385
SN25630,60.53,8.1948
SN62980,62.93,7.925
SN43520,58.6265,6.4867
SN99540,69.147,29.244
SN55928,61.2028,6.5285
SN99740,78.9067,28.8883
SN76530,65.8295,12.4255
SN30020,59.0768,10.0448
SN60650,62.288,7.2173
SN700,61.887,12.0462
SN89010,69.2897,18.1288
SN27403,59.2084,10.45442
SN67005,63.3297,9.9983
SN41480,58.6172,7.4128
SN38250,58.1995,8.1865
SN31970,59.8497,8.6562
SN18270,59.9683,10.9185
SN42700,58.3702,6.6315
SN26820,59.7613,9.8922
SN57710,61.5832,5.0278
SN99752,76.4733,16.5428
SN26802,59.7328,10.0258
SN37580,59.3445,7.71
SN69035,63.4262,10.664
SN65940,63.8467,8.4667
SN21700,61.0102,10.1453
SN27406,59.169,10.4238
SN54770,61.2722,7.766
SN670,61.8405,11.9928
SN27065,59.531,10.2643
SN36010,58.5738,8.8413
SN85645,67.9627,13.1543
SN76969,61.079,2.5063
SN97470,69.3772,24.2018
SN49955,60.5157,6.9147
SN11340,60.4548,10.643
SN35860,58.6361,9.1479
SN91728,70.0662,20.5647
SN25040,60.786,8.7443
SN71990,64.4013,10.455
SN45460,59.0147,6.049
SN11690,60.6125,10.6308
SN18410,59.941,10.798
SN89350,69.0577,18.5437
